repo,stars,file_type,node_sass_version,file_url
algorithm-visualizer/algorithm-visualizer,48117,package.json,^4.12.0,https://github.com/algorithm-visualizer/algorithm-visualizer/blob/master/package.json
Dogfalo/materialize,39152,package.json,^4.7.2,https://github.com/Dogfalo/materialize/blob/v1-dev/package.json
michalsnik/aos,27933,package.json,^4.9.0,https://github.com/michalsnik/aos/blob/next/package.json
YMFE/yapi,27732,package.json,^4.9.0,https://github.com/YMFE/yapi/blob/master/package.json
benweet/stackedit,22619,package.json,^4.0.0,https://github.com/benweet/stackedit/blob/master/package.json
wagerfield/parallax,16580,package-lock.json,4.5.3,https://github.com/wagerfield/parallax/blob/master/package-lock.json
grab/front-end-guide,15258,package.json,^4.5.3,https://github.com/grab/front-end-guide/blob/master/package.json
checkly/headless-recorder,15216,package.json,5.0.0,https://github.com/checkly/headless-recorder/blob/main/package.json
designmodo/Flat-UI,15147,package-lock.json,4.5.3,https://github.com/designmodo/Flat-UI/blob/master/package-lock.json
frappe/charts,15066,package.json,^8.0.0,https://github.com/frappe/charts/blob/master/package.json
unbug/codelf,14197,package.json,^4.13.0,https://github.com/unbug/codelf/blob/master/package.json
openstf/stf,13716,package.json,^4.13.1,https://github.com/openstf/stf/blob/master/package.json
erikras/react-redux-universal-hot-example,12305,package.json,^3.4.2,https://github.com/erikras/react-redux-universal-hot-example/blob/master/package.json
Chalarangelo/30-seconds-of-interviews,12106,package.json,^4.12.0,https://github.com/Chalarangelo/30-seconds-of-interviews/blob/master/package.json
jaredreich/pell,12065,package-lock.json,4.10.0,https://github.com/jaredreich/pell/blob/master/package-lock.json
phobal/ivideo,11872,package.json,^4.7.2,https://github.com/phobal/ivideo/blob/master/package.json
luin/medis,11742,package.json,^4.12.0,https://github.com/luin/medis/blob/master/package.json
xiandanin/magnetW,11428,package.json,^4.9.2,https://github.com/xiandanin/magnetW/blob/master/package.json
clauderic/react-sortable-hoc,10899,package.json,^4.11.0,https://github.com/clauderic/react-sortable-hoc/blob/master/package.json
ryanburgess/engineer-manager,10672,package.json,^6.0.1,https://github.com/ryanburgess/engineer-manager/blob/main/package.json
hackjutsu/Lepton,10285,package.json,^4.10.0,https://github.com/hackjutsu/Lepton/blob/master/package.json
PatrickJS/PatrickJS-starter,10276,package.json,^4.9.0,https://github.com/PatrickJS/PatrickJS-starter/blob/master/package.json
gskinner/regexr,10254,package-lock.json,4.13.1,https://github.com/gskinner/regexr/blob/master/package-lock.json
dvdzkwsk/react-redux-starter-kit,10250,package.json,^4.5.3,https://github.com/dvdzkwsk/react-redux-starter-kit/blob/master/package.json
ziahamza/webui-aria2,10234,package.json,^4.9.3,https://github.com/ziahamza/webui-aria2/blob/master/package.json
coryhouse/react-slingshot,9689,package.json,4.13.0,https://github.com/coryhouse/react-slingshot/blob/master/package.json
locomotivemtl/locomotive-scroll,8567,package.json,^6.0.1,https://github.com/locomotivemtl/locomotive-scroll/blob/master/package.json
litten/hexo-theme-yilia,8384,package.json,^3.9.3,https://github.com/litten/hexo-theme-yilia/blob/master/package.json
givanz/VvvebJs,8283,package.json,^8.0.0,https://github.com/givanz/VvvebJs/blob/master/package.json
text-mask/text-mask,8241,package.json,^3.4.2,https://github.com/text-mask/text-mask/blob/master/package.json
VulcanJS/Vulcan,7946,package.json,^4.14.0,https://github.com/VulcanJS/Vulcan/blob/devel/package.json
OwlCarousel2/OwlCarousel2,7940,package-lock.json,3.13.1,https://github.com/OwlCarousel2/OwlCarousel2/blob/develop/package-lock.json
dataarts/dat.gui,7701,package-lock.json,4.13.1,https://github.com/dataarts/dat.gui/blob/master/package-lock.json
DIYgod/APlayer,7605,package.json,^5.0.0,https://github.com/DIYgod/APlayer/blob/master/package.json
dc-js/dc.js,7443,package.json,^4.14.1,https://github.com/dc-js/dc.js/blob/develop/package.json
surmon-china/vue-quill-editor,7418,package.json,^4.7.2,https://github.com/surmon-china/vue-quill-editor/blob/main/package.json
olifolkerd/tabulator,7398,package.json,^9.0.0,https://github.com/olifolkerd/tabulator/blob/master/package.json
jbaysolutions/vue-grid-layout,7387,package-lock.json,4.14.1,https://github.com/jbaysolutions/vue-grid-layout/blob/master/package-lock.json
fontello/fontello,7084,package.json,^7.0.1,https://github.com/fontello/fontello/blob/master/package.json
